uid	dataid	image	label
i0068	68	TrainingBatch2/volume-68.nii	TrainingBatch2/comp-68.nii
i0069	69	TrainingBatch2/volume-69.nii	TrainingBatch2/comp-69.nii
i0070	70	TrainingBatch2/volume-70.nii	TrainingBatch2/comp-70.nii
i0071	71	TrainingBatch2/volume-71.nii	TrainingBatch2/comp-71.nii
i0072	72	TrainingBatch2/volume-72.nii	TrainingBatch2/comp-72.nii
i0073	73	TrainingBatch2/volume-73.nii	TrainingBatch2/comp-73.nii
i0074	74	TrainingBatch2/volume-74.nii	TrainingBatch2/comp-74.nii
i0075	75	TrainingBatch2/volume-75.nii	TrainingBatch2/comp-75.nii
i0076	76	TrainingBatch2/volume-76.nii	TrainingBatch2/comp-76.nii
i0077	77	TrainingBatch2/volume-77.nii	TrainingBatch2/comp-77.nii
i0078	78	TrainingBatch2/volume-78.nii	TrainingBatch2/comp-78.nii
i0079	79	TrainingBatch2/volume-79.nii	TrainingBatch2/comp-79.nii
i0080	80	TrainingBatch2/volume-80.nii	TrainingBatch2/comp-80.nii
i0081	81	TrainingBatch2/volume-81.nii	TrainingBatch2/comp-81.nii
i0082	82	TrainingBatch2/volume-82.nii	TrainingBatch2/comp-82.nii
i0083	83	TrainingBatch2/volume-83.nii	TrainingBatch2/comp-83.nii
i0084	84	TrainingBatch2/volume-84.nii	TrainingBatch2/comp-84.nii
i0085	85	TrainingBatch2/volume-85.nii	TrainingBatch2/comp-85.nii
i0086	86	TrainingBatch2/volume-86.nii	TrainingBatch2/comp-86.nii
i0087	87	TrainingBatch2/volume-87.nii	TrainingBatch2/comp-87.nii
i0088	88	TrainingBatch2/volume-88.nii	TrainingBatch2/comp-88.nii
i0089	89	TrainingBatch2/volume-89.nii	TrainingBatch2/comp-89.nii
i0090	90	TrainingBatch2/volume-90.nii	TrainingBatch2/comp-90.nii
i0091	91	TrainingBatch2/volume-91.nii	TrainingBatch2/comp-91.nii
i0092	92	TrainingBatch2/volume-92.nii	TrainingBatch2/comp-92.nii
i0093	93	TrainingBatch2/volume-93.nii	TrainingBatch2/comp-93.nii
i0094	94	TrainingBatch2/volume-94.nii	TrainingBatch2/comp-94.nii
i0095	95	TrainingBatch2/volume-95.nii	TrainingBatch2/comp-95.nii
i0096	96	TrainingBatch2/volume-96.nii	TrainingBatch2/comp-96.nii
i0097	97	TrainingBatch2/volume-97.nii	TrainingBatch2/comp-97.nii
i0098	98	TrainingBatch2/volume-98.nii	TrainingBatch2/comp-98.nii
i0099	99	TrainingBatch2/volume-99.nii	TrainingBatch2/comp-99.nii
i0100	100	TrainingBatch2/volume-100.nii	TrainingBatch2/comp-100.nii
i0101	101	TrainingBatch2/volume-101.nii	TrainingBatch2/comp-101.nii
i0102	102	TrainingBatch2/volume-102.nii	TrainingBatch2/comp-102.nii
i0103	103	TrainingBatch2/volume-103.nii	TrainingBatch2/comp-103.nii
i0104	104	TrainingBatch2/volume-104.nii	TrainingBatch2/comp-104.nii
i0105	105	TrainingBatch2/volume-105.nii	TrainingBatch2/comp-105.nii
i0106	106	TrainingBatch2/volume-106.nii	TrainingBatch2/comp-106.nii
i0107	107	TrainingBatch2/volume-107.nii	TrainingBatch2/comp-107.nii
i0108	108	TrainingBatch2/volume-108.nii	TrainingBatch2/comp-108.nii
i0109	109	TrainingBatch2/volume-109.nii	TrainingBatch2/comp-109.nii
i0110	110	TrainingBatch2/volume-110.nii	TrainingBatch2/comp-110.nii
i0111	111	TrainingBatch2/volume-111.nii	TrainingBatch2/comp-111.nii
i0112	112	TrainingBatch2/volume-112.nii	TrainingBatch2/comp-112.nii
i0113	113	TrainingBatch2/volume-113.nii	TrainingBatch2/comp-113.nii
i0114	114	TrainingBatch2/volume-114.nii	TrainingBatch2/comp-114.nii
i0115	115	TrainingBatch2/volume-115.nii	TrainingBatch2/comp-115.nii
i0116	116	TrainingBatch2/volume-116.nii	TrainingBatch2/comp-116.nii
i0117	117	TrainingBatch2/volume-117.nii	TrainingBatch2/comp-117.nii
i0118	118	TrainingBatch2/volume-118.nii	TrainingBatch2/comp-118.nii
i0119	119	TrainingBatch2/volume-119.nii	TrainingBatch2/comp-119.nii
i0120	120	TrainingBatch2/volume-120.nii	TrainingBatch2/comp-120.nii
i0121	121	TrainingBatch2/volume-121.nii	TrainingBatch2/comp-121.nii
i0122	122	TrainingBatch2/volume-122.nii	TrainingBatch2/comp-122.nii
i0123	123	TrainingBatch2/volume-123.nii	TrainingBatch2/comp-123.nii
i0124	124	TrainingBatch2/volume-124.nii	TrainingBatch2/comp-124.nii
i0125	125	TrainingBatch2/volume-125.nii	TrainingBatch2/comp-125.nii
i0126	126	TrainingBatch2/volume-126.nii	TrainingBatch2/comp-126.nii
i0127	127	TrainingBatch2/volume-127.nii	TrainingBatch2/comp-127.nii
i0128	128	TrainingBatch2/volume-128.nii	TrainingBatch2/comp-128.nii
i0129	129	TrainingBatch2/volume-129.nii	TrainingBatch2/comp-129.nii
i0130	130	TrainingBatch2/volume-130.nii	TrainingBatch2/comp-130.nii
